case_id,date,region,lat,lon,n_model_depths,n_glorys_depths,n_argo_depths,inversion_depth_top_m,inversion_depth_bottom_m,inversion_delta_c
CASE_01,2023-05-11,arabian_sea,17.125,50.625,9,9,0,20,30,0.0767
CASE_02,2023-05-21,arabian_sea,12.375,58.625,15,15,0,30,50,0.074
CASE_03,2023-05-22,arabian_sea,9.875,56.625,15,15,0,20,30,0.1084
CASE_04,2023-05-23,arabian_sea,6.625,55.125,15,15,0,10,20,0.1116
CASE_05,2023-05-23,arabian_sea,21.625,59.625,15,15,0,10,20,0.0583
CASE_06,2023-05-24,arabian_sea,15.125,54.875,15,15,0,10,20,0.1078
CASE_07,2023-05-24,arabian_sea,26.625,60.375,14,14,0,20,30,0.0825
CASE_08,2023-05-25,arabian_sea,9.625,46.875,6,6,0,20,30,0.0618
CASE_09,2023-05-25,arabian_sea,25.125,58.875,14,14,0,10,20,0.0597
CASE_10,2023-05-26,arabian_sea,22.125,56.875,12,12,0,10,20,0.0645
CASE_11,2023-06-18,arabian_sea,10.875,73.375,15,15,0,50,75,0.0606
CASE_12,2023-06-22,arabian_sea,6.625,45.625,11,11,0,50,75,0.2597
CASE_13,2023-05-24,bay_of_bengal,29.625,77.125,15,15,0,20,30,0.0581
CASE_14,2023-05-29,bay_of_bengal,17.875,99.875,15,15,0,20,30,0.1154
CASE_15,2023-05-30,bay_of_bengal,19.625,100.125,15,15,0,20,30,0.0583
CASE_16,2023-06-05,bay_of_bengal,11.625,103.875,15,15,0,30,50,0.0941
CASE_17,2023-06-18,bay_of_bengal,19.375,82.625,15,15,0,50,75,0.0517
CASE_18,2023-06-20,bay_of_bengal,14.875,83.875,15,15,0,75,100,0.0517
CASE_19,2023-06-22,bay_of_bengal,8.125,79.375,15,15,0,75,100,0.0706
CASE_20,2023-06-22,bay_of_bengal,20.875,83.375,15,15,0,75,100,0.063
CASE_21,2023-06-23,bay_of_bengal,12.625,78.375,15,15,0,75,100,0.1435
CASE_22,2023-06-23,bay_of_bengal,22.125,86.625,15,15,0,50,75,0.0588
CASE_23,2023-06-24,bay_of_bengal,13.125,78.125,15,15,0,75,100,0.1305
CASE_24,2023-06-25,bay_of_bengal,10.375,85.625,15,15,0,75,100,0.0592
