obs_date,target,n_valid,rmse_c,mae_c,bias_c,median_abs_error_c,p90_abs_error_c,p95_abs_error_c,pearson_r,metric_status
2023-05-11,GLORYS,321293,0.684,0.5007,0.2351,0.357,1.1099,1.5097,0.9967,computed
2023-05-11,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-12,GLORYS,321293,0.7019,0.513,0.2561,0.3663,1.1374,1.5681,0.9966,computed
2023-05-12,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-13,GLORYS,321293,0.6846,0.5039,0.2208,0.3757,1.114,1.4606,0.9967,computed
2023-05-13,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-14,GLORYS,321293,0.6926,0.521,0.209,0.3999,1.1346,1.4202,0.9966,computed
2023-05-14,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-15,GLORYS,321293,0.7529,0.5665,0.2378,0.4319,1.2244,1.5336,0.996,computed
2023-05-15,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-16,GLORYS,321293,0.7773,0.5912,0.2597,0.4568,1.2824,1.5762,0.9958,computed
2023-05-16,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-17,GLORYS,321293,0.808,0.6167,0.2889,0.4723,1.3435,1.6633,0.9955,computed
2023-05-17,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-18,GLORYS,321293,0.814,0.6202,0.2678,0.4814,1.34,1.6857,0.9954,computed
2023-05-18,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-19,GLORYS,321293,0.8441,0.6395,0.2386,0.4895,1.3965,1.7235,0.9949,computed
2023-05-19,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-20,GLORYS,321293,0.8835,0.6578,0.2196,0.4914,1.4773,1.8035,0.9943,computed
2023-05-20,independent_ARGO,6476,2.0563,1.8268,1.8105,1.8556,2.959,3.5752,0.9902,computed
2023-05-21,GLORYS,321293,0.9375,0.6902,0.1802,0.5018,1.5494,1.9679,0.9934,computed
2023-05-21,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-22,GLORYS,321293,0.993,0.7272,0.1935,0.5167,1.6431,2.1036,0.9926,computed
2023-05-22,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-23,GLORYS,321293,1.0627,0.7733,0.2247,0.5558,1.7225,2.2834,0.9916,computed
2023-05-23,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-24,GLORYS,321293,1.1434,0.8275,0.2813,0.5835,1.8148,2.492,0.9905,computed
2023-05-24,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-25,GLORYS,321293,1.1687,0.8441,0.3575,0.5929,1.8604,2.5399,0.9904,computed
2023-05-25,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-26,GLORYS,321293,1.1856,0.8401,0.4179,0.5859,1.8533,2.588,0.9904,computed
2023-05-26,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-27,GLORYS,321293,1.2278,0.8474,0.4802,0.5753,1.8754,2.8303,0.99,computed
2023-05-27,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-28,GLORYS,321293,1.2838,0.8626,0.5252,0.5605,2.0033,3.0607,0.9893,computed
2023-05-28,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-29,GLORYS,321293,1.325,0.8847,0.6053,0.5716,2.152,3.2318,0.9891,computed
2023-05-29,independent_ARGO,0,,,,,,,,no_finite_observations
2023-05-30,GLORYS,321293,1.3748,0.9068,0.6713,0.5765,2.2947,3.4466,0.9887,computed
2023-05-30,independent_ARGO,6476,2.0118,1.7405,1.7349,1.658,3.1506,3.7939,0.9883,computed
2023-05-31,GLORYS,321293,1.4264,0.9308,0.7226,0.5768,2.5312,3.6251,0.9881,computed
2023-05-31,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-01,GLORYS,321293,1.366,0.9117,0.7224,0.5969,2.4621,3.4512,0.9894,computed
2023-06-01,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-02,GLORYS,321293,1.3597,0.9188,0.7378,0.6043,2.4883,3.3574,0.9897,computed
2023-06-02,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-03,GLORYS,321293,1.3595,0.9288,0.7377,0.6075,2.4232,3.3226,0.9897,computed
2023-06-03,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-04,GLORYS,321293,1.3272,0.925,0.7229,0.6158,2.2995,3.1698,0.9902,computed
2023-06-04,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-05,GLORYS,321293,1.2976,0.9274,0.7095,0.6284,2.2572,2.9718,0.9906,computed
2023-06-05,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-06,GLORYS,321293,1.3277,0.9593,0.7433,0.6586,2.3434,2.9837,0.9903,computed
2023-06-06,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-07,GLORYS,321293,1.3855,1.0218,0.7947,0.7296,2.4562,3.0456,0.9896,computed
2023-06-07,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-08,GLORYS,321293,1.5136,1.1379,0.9173,0.8365,2.6783,3.3014,0.9883,computed
2023-06-08,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-09,GLORYS,321293,1.6505,1.2508,1.0364,0.9369,2.9344,3.5631,0.9866,computed
2023-06-09,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-10,GLORYS,321293,1.7276,1.3189,1.1,1.0192,3.0024,3.7038,0.9855,computed
2023-06-10,independent_ARGO,6476,1.6532,1.3536,1.334,1.1641,2.9183,3.234,0.9883,computed
2023-06-11,GLORYS,321293,1.7977,1.3709,1.1435,1.0886,3.0016,3.7889,0.9842,computed
2023-06-11,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-12,GLORYS,321293,1.8608,1.417,1.1875,1.1541,3.0185,3.9026,0.9831,computed
2023-06-12,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-13,GLORYS,321293,1.9382,1.4736,1.2506,1.1912,3.0119,3.9569,0.982,computed
2023-06-13,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-14,GLORYS,321293,1.9534,1.4768,1.2603,1.1694,3.0088,3.9355,0.9818,computed
2023-06-14,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-15,GLORYS,321293,1.9015,1.432,1.2175,1.1273,2.8922,3.7982,0.9827,computed
2023-06-15,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-16,GLORYS,321293,1.915,1.4302,1.1999,1.1104,2.8937,3.9052,0.982,computed
2023-06-16,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-17,GLORYS,321293,2.0274,1.5139,1.2864,1.1599,3.0979,4.2628,0.9803,computed
2023-06-17,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-18,GLORYS,321293,2.0679,1.5304,1.3098,1.146,3.1721,4.4126,0.9797,computed
2023-06-18,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-19,GLORYS,321293,1.9798,1.4638,1.2465,1.1033,3.0562,3.9449,0.9816,computed
2023-06-19,independent_ARGO,0,,,,,,,,no_finite_observations
2023-06-20,GLORYS,321293,1.8388,1.3937,1.184,1.1081,2.8285,3.4861,0.985,computed
2023-06-20,independent_ARGO,6476,1.6322,1.3406,1.2539,1.1603,2.7965,3.0906,0.9871,computed
2023-06-21,GLORYS,321293,1.6815,1.2928,1.0931,1.0863,2.5043,3.0586,0.9878,computed
