regime,target,depth_m,n_valid,rmse_c,mae_c,bias_c,median_abs_error_c,p90_abs_error_c,p95_abs_error_c,pearson_r,metric_status
arabian_sea,GLORYS,all_depths,7664650,1.6688,1.1519,0.8662,0.7574,2.7426,3.6767,0.9828,computed
arabian_sea,GLORYS,0,556650,2.0796,1.4915,1.4375,1.0036,3.6439,4.3861,0.5612,computed
arabian_sea,GLORYS,5,556650,1.832,1.2709,1.2004,0.774,3.2139,3.9589,0.7526,computed
arabian_sea,GLORYS,10,556650,1.7644,1.224,1.1629,0.7383,3.0881,3.799,0.8066,computed
arabian_sea,GLORYS,20,547450,1.7057,1.1618,1.0658,0.6558,3.0432,3.7801,0.7894,computed
arabian_sea,GLORYS,30,534650,2.0379,1.3812,1.1901,0.7792,3.5571,4.44,0.4983,computed
arabian_sea,GLORYS,50,529450,1.9057,1.3647,0.4057,1.0589,2.9518,4.3416,0.61,computed
arabian_sea,GLORYS,75,520250,2.0594,1.3794,0.5102,0.8308,3.5004,5.1607,0.7277,computed
arabian_sea,GLORYS,100,519050,2.275,1.5653,1.0963,0.9112,4.309,5.4999,0.7142,computed
arabian_sea,GLORYS,125,513850,1.918,1.5467,1.4167,1.2931,3.2624,3.5989,0.795,computed
arabian_sea,GLORYS,150,509600,1.5538,1.3247,1.2744,1.239,2.4553,2.816,0.7513,computed
arabian_sea,GLORYS,200,502400,1.1517,0.9651,0.9091,0.9296,1.8112,1.9901,0.5386,computed
arabian_sea,GLORYS,300,484400,1.0921,0.9817,0.9761,1.009,1.5891,1.6818,-0.4341,computed
arabian_sea,GLORYS,500,460800,0.3606,0.2934,0.0685,0.2564,0.5846,0.6594,-0.2195,computed
arabian_sea,GLORYS,700,445200,0.562,0.4731,-0.4684,0.4383,0.9042,1.0236,0.3604,computed
arabian_sea,GLORYS,1000,427600,0.5806,0.4832,0.2913,0.4281,0.9601,1.0683,0.0602,computed
arabian_sea,independent_ARGO,all_depths,25904,1.8488,1.5654,1.5333,1.4684,2.9526,3.3569,0.9876,computed
arabian_sea,independent_ARGO,0,0,,,,,,,,no_finite_observations
arabian_sea,independent_ARGO,5,3404,1.869,1.7009,1.7009,1.7437,2.9173,3.0251,-0.7235,computed
arabian_sea,independent_ARGO,10,3404,1.9502,1.7783,1.7783,1.8664,2.8969,3.0692,-0.6115,computed
arabian_sea,independent_ARGO,20,3212,1.8955,1.6786,1.6657,1.728,2.9176,3.1796,-0.6222,computed
arabian_sea,independent_ARGO,30,2660,2.1363,1.9514,1.9468,1.9849,2.8309,3.6043,-0.6209,computed
arabian_sea,independent_ARGO,50,2316,1.7804,1.5614,1.5473,1.5298,2.5162,3.1334,-0.6352,computed
arabian_sea,independent_ARGO,75,2004,1.3362,1.1868,0.9593,1.1922,2.0402,2.1764,-0.5244,computed
arabian_sea,independent_ARGO,100,1668,3.2662,3.1659,3.1659,3.3335,4.058,4.1294,0.0707,computed
arabian_sea,independent_ARGO,125,1540,1.1993,1.078,1.0138,1.184,1.6809,1.856,0.1891,computed
arabian_sea,independent_ARGO,150,1360,0.2764,0.2243,0.1475,0.1886,0.4524,0.5131,0.624,computed
arabian_sea,independent_ARGO,200,1232,1.3372,1.2727,1.2727,1.1979,1.8723,2.1157,-0.1295,computed
arabian_sea,independent_ARGO,300,976,0.5916,0.5469,0.5449,0.5288,0.8093,0.9167,0.1538,computed
arabian_sea,independent_ARGO,500,768,0.259,0.2101,0.1024,0.1695,0.4405,0.5251,-0.3421,computed
arabian_sea,independent_ARGO,700,696,1.0067,0.987,0.987,1.0394,1.2013,1.2308,0.1836,computed
arabian_sea,independent_ARGO,1000,664,2.9288,2.9116,2.9116,2.93,3.3246,3.4055,-0.2451,computed
bay_of_bengal,GLORYS,all_depths,8400000,1.3084,0.9606,0.6771,0.7042,2.2123,2.8416,0.9906,computed
bay_of_bengal,GLORYS,0,560000,1.3492,1.0921,1.0903,0.8962,2.3112,2.8278,0.2055,computed
bay_of_bengal,GLORYS,5,560000,1.0795,0.8586,0.8525,0.7476,1.7169,2.2631,0.5983,computed
bay_of_bengal,GLORYS,10,560000,1.0748,0.8348,0.8217,0.7038,1.7981,2.2892,0.5378,computed
bay_of_bengal,GLORYS,20,560000,1.0677,0.8369,0.8115,0.6849,1.7711,2.0834,0.5073,computed
bay_of_bengal,GLORYS,30,560000,1.2738,0.971,0.9345,0.7689,2.2918,2.6082,-0.3251,computed
bay_of_bengal,GLORYS,50,560000,1.0486,0.8328,0.359,0.6888,1.7081,2.1193,-0.0564,computed
bay_of_bengal,GLORYS,75,560000,1.0589,0.8301,0.0482,0.7289,1.5247,2.0922,0.0289,computed
bay_of_bengal,GLORYS,100,560000,1.2947,0.926,0.6111,0.6379,2.1221,2.8895,0.3599,computed
bay_of_bengal,GLORYS,125,560000,2.2164,1.727,1.3997,1.3697,3.8653,4.4067,0.3902,computed
bay_of_bengal,GLORYS,150,560000,2.2708,1.8592,1.7779,1.6669,3.7803,4.2435,0.3417,computed
bay_of_bengal,GLORYS,200,560000,1.7832,1.5385,1.5253,1.4787,2.8016,3.1237,0.1841,computed
bay_of_bengal,GLORYS,300,560000,0.6756,0.5571,0.4734,0.5075,1.0773,1.2489,0.0376,computed
bay_of_bengal,GLORYS,500,560000,0.4823,0.3754,-0.3146,0.3162,0.7473,0.9295,0.0753,computed
bay_of_bengal,GLORYS,700,560000,0.7364,0.6313,-0.595,0.6075,1.1322,1.3051,-0.2224,computed
bay_of_bengal,GLORYS,1000,560000,0.6296,0.5389,0.3616,0.5094,1.0124,1.1344,-0.1813,computed
bay_of_bengal,independent_ARGO,all_depths,0,,,,,,,,no_finite_observations
bay_of_bengal,independent_ARGO,0,0,,,,,,,,no_finite_observations
bay_of_bengal,independent_ARGO,5,0,,,,,,,,no_finite_observations
bay_of_bengal,independent_ARGO,10,0,,,,,,,,no_finite_observations
bay_of_bengal,independent_ARGO,20,0,,,,,,,,no_finite_observations
bay_of_bengal,independent_ARGO,30,0,,,,,,,,no_finite_observations
bay_of_bengal,independent_ARGO,50,0,,,,,,,,no_finite_observations
bay_of_bengal,independent_ARGO,75,0,,,,,,,,no_finite_observations
bay_of_bengal,independent_ARGO,100,0,,,,,,,,no_finite_observations
bay_of_bengal,independent_ARGO,125,0,,,,,,,,no_finite_observations
bay_of_bengal,independent_ARGO,150,0,,,,,,,,no_finite_observations
bay_of_bengal,independent_ARGO,200,0,,,,,,,,no_finite_observations
bay_of_bengal,independent_ARGO,300,0,,,,,,,,no_finite_observations
bay_of_bengal,independent_ARGO,500,0,,,,,,,,no_finite_observations
bay_of_bengal,independent_ARGO,700,0,,,,,,,,no_finite_observations
bay_of_bengal,independent_ARGO,1000,0,,,,,,,,no_finite_observations
