target,benchmark_source,scope_type,scope_label,depth_m,n_valid,rmse_c,mae_c,bias_c,median_abs_error_c,p90_abs_error_c,p95_abs_error_c,pearson_r,metric_status,pearson_r_type,aggregation_note
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,pooled_4d,"Overall GLORYS pooled 4D (all ocean cells, all depths, all 50 holdout days)",ALL,16064650.0,1.4913,1.0519,0.7673,0.726,2.4435,3.2309,0.9869,computed,4D_POOLED_DOMINATED_BY_VERTICAL_GRADIENT_NOT_SPATIAL_SKILL,pool_all_finite_pairs_then_rmse — NOT arithmetic mean of per-depth RMSEs
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,pooled_4d_regime,Arabian Sea GLORYS pooled 4D,ALL,7664650.0,1.6688,1.1519,0.8662,0.7574,2.7426,3.6767,0.9828,computed,4D_POOLED_DOMINATED_BY_VERTICAL_GRADIENT_NOT_SPATIAL_SKILL,pool_all_finite_pairs_in_regime_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,pooled_4d_regime,Bay of Bengal GLORYS pooled 4D,ALL,8400000.0,1.3084,0.9606,0.6771,0.7042,2.2123,2.8416,0.9906,computed,4D_POOLED_DOMINATED_BY_VERTICAL_GRADIENT_NOT_SPATIAL_SKILL,pool_all_finite_pairs_in_regime_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,individual_depth,0m,0,1116650.0,1.7518,1.2912,1.2633,0.9346,2.9379,3.6755,0.5278,computed,within_depth_spatial_temporal,pool_all_finite_pairs_at_this_depth_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,individual_depth,5m,5,1116650.0,1.5025,1.0641,1.0259,0.757,2.4613,3.2562,0.7105,computed,within_depth_spatial_temporal,pool_all_finite_pairs_at_this_depth_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,individual_depth,10m,10,1116650.0,1.4599,1.0288,0.9918,0.7178,2.4124,3.143,0.7613,computed,within_depth_spatial_temporal,pool_all_finite_pairs_at_this_depth_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,individual_depth,20m,20,1107450.0,1.4194,0.9975,0.9372,0.671,2.2651,3.0657,0.7439,computed,within_depth_spatial_temporal,pool_all_finite_pairs_at_this_depth_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,individual_depth,30m,30,1094650.0,1.6907,1.1714,1.0593,0.773,2.7113,3.5291,0.4622,computed,within_depth_spatial_temporal,pool_all_finite_pairs_at_this_depth_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,individual_depth,50m,50,1089450.0,1.5265,1.0913,0.3817,0.854,2.115,3.0169,0.5188,computed,within_depth_spatial_temporal,pool_all_finite_pairs_at_this_depth_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,individual_depth,75m,75,1080250.0,1.6198,1.0947,0.2707,0.7662,2.4237,3.5963,0.6951,computed,within_depth_spatial_temporal,pool_all_finite_pairs_at_this_depth_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,individual_depth,100m,100,1079050.0,1.8329,1.2335,0.8445,0.7607,3.1108,4.3689,0.7403,computed,within_depth_spatial_temporal,pool_all_finite_pairs_at_this_depth_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,individual_depth,125m,125,1073850.0,2.079,1.6407,1.4078,1.3304,3.5262,4.0501,0.7741,computed,within_depth_spatial_temporal,pool_all_finite_pairs_at_this_depth_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,individual_depth,150m,150,1069600.0,1.9621,1.6045,1.538,1.3969,3.2246,3.8181,0.722,computed,within_depth_spatial_temporal,pool_all_finite_pairs_at_this_depth_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,individual_depth,200m,200,1062400.0,1.5177,1.2674,1.2339,1.1882,2.4162,2.8334,0.6143,computed,within_depth_spatial_temporal,pool_all_finite_pairs_at_this_depth_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,individual_depth,300m,300,1044400.0,0.8932,0.754,0.7065,0.7131,1.4555,1.5934,-0.2353,computed,within_depth_spatial_temporal,pool_all_finite_pairs_at_this_depth_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,individual_depth,500m,500,1020800.0,0.4316,0.3384,-0.1417,0.2874,0.6666,0.8015,-0.1305,computed,within_depth_spatial_temporal,pool_all_finite_pairs_at_this_depth_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,individual_depth,700m,700,1005200.0,0.6649,0.5612,-0.5389,0.531,1.0239,1.2042,0.0275,computed,within_depth_spatial_temporal,pool_all_finite_pairs_at_this_depth_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,individual_depth,1000m,1000,987600.0,0.6089,0.5148,0.3312,0.4755,0.9886,1.1073,-0.0435,computed,within_depth_spatial_temporal,pool_all_finite_pairs_at_this_depth_then_rmse
GLORYS,GLORYS12V1 Numerical Reanalysis Benchmark,pooled_depth_stratum,GLORYS 0-100m aggregate,0-100m aggregate,8800800.0,1.6055,1.1213,0.85,0.7804,2.5749,3.4676,0.7165,computed,pooled_stratum_includes_temperature_gradient_contribution,pool_all_finite_pairs_across_0-100m aggregate_then_rmse
