scope,min_sigma_c,max_sigma_c,mean_sigma_c,median_sigma_c,p90_sigma_c,p95_sigma_c,calibration_status
Overall Ocean Grid,0.0371,1.8878,0.2264,0.0864,0.6754,0.9704,NOT DEMONSTRATED (Raw bounded sigma underpredicts empirical RMSE; calibration absent)
Depth 0m,0.0401,0.2114,0.0588,0.0546,0.0724,0.0806,NOT DEMONSTRATED
Depth 5m,0.0371,0.2102,0.0656,0.0627,0.0845,0.0893,NOT DEMONSTRATED
Depth 10m,0.039,0.1636,0.0744,0.0684,0.104,0.1124,NOT DEMONSTRATED
Depth 20m,0.0371,0.13,0.0475,0.0457,0.0566,0.0614,NOT DEMONSTRATED
Depth 30m,0.066,0.2684,0.1239,0.123,0.1423,0.1504,NOT DEMONSTRATED
Depth 50m,0.0548,0.2651,0.0843,0.0797,0.1084,0.1164,NOT DEMONSTRATED
Depth 75m,0.1228,0.6007,0.3075,0.2976,0.4118,0.4374,NOT DEMONSTRATED
Depth 100m,0.0962,0.4926,0.1739,0.164,0.2183,0.2424,NOT DEMONSTRATED
Depth 125m,0.1907,1.4537,0.698,0.703,0.9835,1.0454,NOT DEMONSTRATED
Depth 150m,0.2348,1.8878,1.0297,1.0695,1.2932,1.356,NOT DEMONSTRATED
Depth 200m,0.1031,0.9176,0.4327,0.4174,0.5752,0.6193,NOT DEMONSTRATED
Depth 300m,0.0473,0.3818,0.0929,0.089,0.1191,0.1425,NOT DEMONSTRATED
Depth 500m,0.0481,0.2952,0.0704,0.067,0.0864,0.0951,NOT DEMONSTRATED
Depth 700m,0.0427,0.1157,0.063,0.0625,0.0715,0.0746,NOT DEMONSTRATED
Depth 1000m,0.0505,0.2299,0.0733,0.0713,0.0859,0.0919,NOT DEMONSTRATED
Arabian Sea,0.0371,1.716,0.2366,0.0869,0.7124,1.006,NOT DEMONSTRATED
Bay of Bengal,0.0371,1.8878,0.2162,0.0857,0.6298,0.9311,NOT DEMONSTRATED
