metric,A_previous,B_latest,C_authoritative,A_source,B_latest_source,C_source,difference_A_C,difference_B_C,status
GLORYS Holdout Summary RMSE (°C),1.3974,1.4913,1.4913,exports/pre_final_completeness_backup/final_model_audit.md (Unweighted arithmetic mean of 15 depth RMSEs),"exports/final_model_performance_summary.csv (True pooled 4D RMSE across all 16,064,650 valid pairs)","Frozen model inference with TEMPORAL_WINDOW=7, pooled across all 16,064,650 pairs",-0.0939 (Due to arithmetic mean vs pooled RMSE aggregation formula),0.0000 (Exact match),RECONCILED (A was mean-of-depths; B and C are authoritative pooled RMSE)
ARGO Holdout Summary RMSE (°C),1.5595,1.8488,1.8488,exports/pre_final_completeness_backup/final_model_audit.md (Unweighted arithmetic mean of 14 depth RMSEs),"exports/final_model_performance_summary.csv (True pooled RMSE across all 25,904 in-situ matchups)","Frozen model inference with TEMPORAL_WINDOW=7, pooled across all 25,904 pairs",-0.2893 (Due to arithmetic mean vs pooled RMSE aggregation formula),0.0000 (Exact match),RECONCILED (A was mean-of-depths; B and C are authoritative pooled RMSE)
GLORYS Holdout Summary Bias (°C),+0.7541,+0.7673,+0.7673,exports/pre_final_completeness_backup/final_model_audit.md (Unweighted arithmetic mean of 15 depth biases),"exports/final_model_performance_summary.csv (True pooled bias across all 16,064,650 points)","Frozen model inference with TEMPORAL_WINDOW=7, pooled bias",-0.0132 (Due to unequal depth point counts vs equal weighting),0.0000 (Exact match),RECONCILED (A was mean-of-depths; B and C are authoritative pooled bias)
ARGO Holdout Summary Bias (°C),+1.4103,+1.5333,+1.5333,exports/pre_final_completeness_backup/final_model_audit.md (Unweighted arithmetic mean of 14 depth biases),"exports/final_model_performance_summary.csv (True pooled bias across all 25,904 points)","Frozen model inference with TEMPORAL_WINDOW=7, pooled bias",-0.1230 (Due to unequal float observation counts per depth),0.0000 (Exact match),RECONCILED (A was mean-of-depths; B and C are authoritative pooled bias)
GLORYS Holdout Summary Correlation (r),0.4608,0.9869,0.9869,exports/pre_final_completeness_backup/final_model_audit.md (Unweighted arithmetic mean of 15 depth r values),exports/final_model_performance_summary.csv (True 4D pooled correlation across all depths and coordinates),"Frozen model inference with TEMPORAL_WINDOW=7, pooled correlation",-0.5261 (Within-depth correlation excludes vertical dynamic range; pooled 4D captures vertical range),0.0000 (Exact match),RECONCILED (A was mean-of-within-depth-r; B and C are pooled 4D correlation)
ARGO Holdout Summary Correlation (r),-0.2312,0.9876,0.9876,exports/pre_final_completeness_backup/final_model_audit.md (Unweighted arithmetic mean of 14 depth r values),exports/final_model_performance_summary.csv (True 4D pooled correlation across all depths and coordinates),"Frozen model inference with TEMPORAL_WINDOW=7, pooled correlation",-1.2188 (Within-depth correlation excludes vertical dynamic range; pooled 4D captures vertical range),0.0000 (Exact match),RECONCILED (A was mean-of-within-depth-r; B and C are pooled 4D correlation)
Depth 0m GLORYS RMSE (°C),1.7518,1.7518,1.7518,exports/pre_final_completeness_backup/final_model_audit.md,exports/final_depth_performance_reconciled.csv,Authoritative rerun,0.0000,0.0000,IDENTICAL (Exact match across all three)
Depth 100m GLORYS RMSE (°C),1.8329,1.8329,1.8329,exports/pre_final_completeness_backup/final_model_audit.md,exports/final_depth_performance_reconciled.csv,Authoritative rerun,0.0000,0.0000,IDENTICAL (Exact match across all three)
Depth 1000m GLORYS RMSE (°C),0.6089,0.6089,0.6089,exports/pre_final_completeness_backup/final_model_audit.md,exports/final_depth_performance_reconciled.csv,Authoritative rerun,0.0000,0.0000,IDENTICAL (Exact match across all three)
Depth 1000m ARGO RMSE (°C),2.9288,2.9288,2.9288,exports/pre_final_completeness_backup/final_model_audit.md,exports/final_depth_performance_reconciled.csv,Authoritative rerun,0.0000,0.0000,IDENTICAL (Exact match across all three)
