case_id,obs_date,region,lat,lon,depth_m,glorys_temp_c,model_temp_c,argo_temp_c,climatology_temp_c,model_uncertainty_c,argo_available,glorys_available,model_available,metric_status
CASE_01,2023-05-11,arabian_sea,17.125,50.625,0,26.95,29.255,,29.077,0.0483,False,True,True,computed
CASE_01,2023-05-11,arabian_sea,17.125,50.625,5,26.873,28.81,,28.966,0.0535,False,True,True,computed
CASE_01,2023-05-11,arabian_sea,17.125,50.625,10,26.816,28.651,,28.887,0.0684,False,True,True,computed
CASE_01,2023-05-11,arabian_sea,17.125,50.625,20,26.706,28.367,,28.784,0.0406,False,True,True,computed
CASE_01,2023-05-11,arabian_sea,17.125,50.625,30,26.783,28.462,,28.595,0.1294,False,True,True,computed
CASE_01,2023-05-11,arabian_sea,17.125,50.625,50,25.083,27.017,,27.079,0.066,False,True,True,computed
CASE_01,2023-05-11,arabian_sea,17.125,50.625,75,23.309,23.912,,23.951,0.3769,False,True,True,computed
CASE_01,2023-05-11,arabian_sea,17.125,50.625,100,22.157,22.576,,22.321,0.1652,False,True,True,computed
CASE_01,2023-05-11,arabian_sea,17.125,50.625,125,18.649,19.226,,19.426,0.6026,False,True,True,computed
CASE_01,2023-05-11,arabian_sea,17.125,50.625,150,,,,,1.4095,False,False,False,missing_observation
CASE_01,2023-05-11,arabian_sea,17.125,50.625,200,,,,,0.3768,False,False,False,missing_observation
CASE_01,2023-05-11,arabian_sea,17.125,50.625,300,,,,,0.095,False,False,False,missing_observation
CASE_01,2023-05-11,arabian_sea,17.125,50.625,500,,,,,0.0581,False,False,False,missing_observation
CASE_01,2023-05-11,arabian_sea,17.125,50.625,700,,,,,0.0645,False,False,False,missing_observation
CASE_01,2023-05-11,arabian_sea,17.125,50.625,1000,,,,,0.0613,False,False,False,missing_observation
CASE_02,2023-05-21,arabian_sea,12.375,58.625,0,30.14,29.919,,29.896,0.054,False,True,True,computed
CASE_02,2023-05-21,arabian_sea,12.375,58.625,5,30.091,29.85,,29.83,0.0633,False,True,True,computed
CASE_02,2023-05-21,arabian_sea,12.375,58.625,10,30.076,29.839,,29.819,0.0617,False,True,True,computed
CASE_02,2023-05-21,arabian_sea,12.375,58.625,20,30.065,29.769,,29.821,0.0465,False,True,True,computed
