case_id,obs_date,region,lat,lon,n_argo_depths,n_glorys_depths,n_model_depths,inversion_depth_top_m,inversion_depth_bottom_m,inversion_delta_c,argo_available,glorys_available,model_available,argo_inversion,glorys_inversion,model_inversion
CASE_01,2023-05-11,arabian_sea,17.125,50.625,0,9,9,20,30,0.0767,False,True,True,,True,True
CASE_02,2023-05-21,arabian_sea,12.375,58.625,0,15,15,30,50,0.074,False,True,True,,True,False
CASE_03,2023-05-22,arabian_sea,9.875,56.625,0,15,15,20,30,0.1084,False,True,True,,True,False
CASE_04,2023-05-23,arabian_sea,6.625,55.125,0,15,15,10,20,0.1116,False,True,True,,True,True
CASE_05,2023-05-23,arabian_sea,21.625,59.625,0,15,15,10,20,0.0583,False,True,True,,True,True
CASE_06,2023-05-24,arabian_sea,15.125,54.875,0,15,15,10,20,0.1078,False,True,True,,True,False
CASE_07,2023-05-24,arabian_sea,26.625,60.375,0,14,14,20,30,0.0825,False,True,True,,True,True
CASE_08,2023-05-25,arabian_sea,9.625,46.875,0,6,6,20,30,0.0618,False,True,True,,True,False
CASE_09,2023-05-25,arabian_sea,25.125,58.875,0,14,14,10,20,0.0597,False,True,True,,True,False
CASE_10,2023-05-26,arabian_sea,22.125,56.875,0,12,12,10,20,0.0645,False,True,True,,True,False
CASE_11,2023-06-18,arabian_sea,10.875,73.375,0,15,15,50,75,0.0606,False,True,True,,True,True
CASE_12,2023-06-22,arabian_sea,6.625,45.625,0,11,11,50,75,0.2597,False,True,True,,True,False
CASE_13,2023-05-24,bay_of_bengal,29.625,77.125,0,15,15,20,30,0.0581,False,True,True,,True,True
CASE_14,2023-05-29,bay_of_bengal,17.875,99.875,0,15,15,20,30,0.1154,False,True,True,,True,False
CASE_15,2023-05-30,bay_of_bengal,19.625,100.125,0,15,15,20,30,0.0583,False,True,True,,True,False
CASE_16,2023-06-05,bay_of_bengal,11.625,103.875,0,15,15,30,50,0.0941,False,True,True,,True,False
CASE_17,2023-06-18,bay_of_bengal,19.375,82.625,0,15,15,50,75,0.0517,False,True,True,,True,True
CASE_18,2023-06-20,bay_of_bengal,14.875,83.875,0,15,15,75,100,0.0517,False,True,True,,True,True
CASE_19,2023-06-22,bay_of_bengal,8.125,79.375,0,15,15,75,100,0.0706,False,True,True,,True,True
CASE_20,2023-06-22,bay_of_bengal,20.875,83.375,0,15,15,75,100,0.063,False,True,True,,True,True
CASE_21,2023-06-23,bay_of_bengal,12.625,78.375,0,15,15,75,100,0.1435,False,True,True,,True,True
CASE_22,2023-06-23,bay_of_bengal,22.125,86.625,0,15,15,50,75,0.0588,False,True,True,,True,True
CASE_23,2023-06-24,bay_of_bengal,13.125,78.125,0,15,15,75,100,0.1305,False,True,True,,True,True
CASE_24,2023-06-25,bay_of_bengal,10.375,85.625,0,15,15,75,100,0.0592,False,True,True,,True,True
