date,region,profiles_checked,profiles_with_inversion,inversion_frequency,segments,mean_delta,max_delta,mean_top_depth,mean_bottom_depth
2023-05-11,arabian_sea,11133,1,9e-05,1,0.0767,0.0767,20.0,30.0
2023-05-11,bay_of_bengal,11200,0,0.0,0,,,,
2023-05-11,overall,22333,1,4.5e-05,1,0.0767,0.0767,20.0,30.0
2023-05-12,arabian_sea,11133,2,0.00018,2,0.125,0.1469,20.0,30.0
2023-05-12,bay_of_bengal,11200,0,0.0,0,,,,
2023-05-12,overall,22333,2,9e-05,2,0.125,0.1469,20.0,30.0
2023-05-13,arabian_sea,11133,34,0.003054,34,0.1206,0.2135,20.0,30.0
2023-05-13,bay_of_bengal,11200,0,0.0,0,,,,
2023-05-13,overall,22333,34,0.001522,34,0.1206,0.2135,20.0,30.0
2023-05-14,arabian_sea,11133,13,0.001168,13,0.0855,0.1594,20.0,30.0
2023-05-14,bay_of_bengal,11200,0,0.0,0,,,,
2023-05-14,overall,22333,13,0.000582,13,0.0855,0.1594,20.0,30.0
2023-05-15,arabian_sea,11133,3,0.000269,3,0.0676,0.0853,20.0,30.0
2023-05-15,bay_of_bengal,11200,0,0.0,0,,,,
2023-05-15,overall,22333,3,0.000134,3,0.0676,0.0853,20.0,30.0
2023-05-16,arabian_sea,11133,6,0.000539,6,0.0825,0.1321,20.0,30.0
2023-05-16,bay_of_bengal,11200,0,0.0,0,,,,
2023-05-16,overall,22333,6,0.000269,6,0.0825,0.1321,20.0,30.0
2023-05-17,arabian_sea,11133,12,0.001078,12,0.1124,0.2372,20.0,30.0
2023-05-17,bay_of_bengal,11200,0,0.0,0,,,,
2023-05-17,overall,22333,12,0.000537,12,0.1124,0.2372,20.0,30.0
2023-05-18,arabian_sea,11133,45,0.004042,45,0.1414,0.2622,20.0,30.0
2023-05-18,bay_of_bengal,11200,0,0.0,0,,,,
2023-05-18,overall,22333,45,0.002015,45,0.1414,0.2622,20.0,30.0
2023-05-19,arabian_sea,11133,116,0.010419,118,0.1335,0.3617,22.71,35.42
2023-05-19,bay_of_bengal,11200,0,0.0,0,,,,
2023-05-19,overall,22333,116,0.005194,118,0.1335,0.3617,22.71,35.42
2023-05-20,arabian_sea,11133,421,0.037816,426,0.0927,0.3951,27.02,44.11
2023-05-20,bay_of_bengal,11200,0,0.0,0,,,,
2023-05-20,overall,22333,421,0.018851,426,0.0927,0.3951,27.02,44.11
2023-05-21,arabian_sea,11133,1119,0.100512,1128,0.0873,0.3892,28.41,46.9
2023-05-21,bay_of_bengal,11200,0,0.0,0,,,,
2023-05-21,overall,22333,1119,0.050105,1128,0.0873,0.3892,28.41,46.9
2023-05-22,arabian_sea,11133,1204,0.108147,1514,0.0863,0.4149,26.12,42.32
2023-05-22,bay_of_bengal,11200,0,0.0,0,,,,
2023-05-22,overall,22333,1204,0.053911,1514,0.0863,0.4149,26.12,42.32
2023-05-23,arabian_sea,11133,1432,0.128627,1899,0.0889,0.4256,15.63,25.67
2023-05-23,bay_of_bengal,11200,0,0.0,0,,,,
2023-05-23,overall,22333,1432,0.06412,1899,0.0889,0.4256,15.63,25.67
2023-05-24,arabian_sea,11133,2531,0.227342,3182,0.093,0.4006,14.78,24.79
2023-05-24,bay_of_bengal,11200,9,0.000804,9,0.0598,0.0667,20.0,30.0
2023-05-24,overall,22333,2540,0.113733,3191,0.0929,0.4006,14.79,24.8
2023-05-25,arabian_sea,11133,1882,0.169047,2239,0.0919,0.3385,13.72,23.73
2023-05-25,bay_of_bengal,11200,0,0.0,0,,,,
2023-05-25,overall,22333,1882,0.08427,2239,0.0919,0.3385,13.72,23.73
2023-05-26,arabian_sea,11133,632,0.056768,650,0.0757,0.2228,17.95,27.98
2023-05-26,bay_of_bengal,11200,0,0.0,0,,,,
