artifact,column,null_count,paired_count_equal_zero,paired_count_greater_zero,missingness_reason,verified_status
inversion_case_summary.csv,argo_inversion,24,24,0,NO_VALID_PAIR,VERIFIED
inversion_metrics_daily.csv,max_delta,46,46,0,NO_VALID_PAIR,VERIFIED
inversion_metrics_daily.csv,mean_bottom_depth,46,46,0,NO_VALID_PAIR,VERIFIED
inversion_metrics_daily.csv,mean_delta,46,46,0,NO_VALID_PAIR,VERIFIED
inversion_metrics_daily.csv,mean_top_depth,46,46,0,NO_VALID_PAIR,VERIFIED
regime_date_depth_population.csv,bias_c,1444,1444,0,NO_VALID_PAIR,VERIFIED
regime_date_depth_population.csv,mae_c,1444,1444,0,NO_VALID_PAIR,VERIFIED
regime_date_depth_population.csv,max_error_c,1444,1444,0,NO_VALID_PAIR,VERIFIED
regime_date_depth_population.csv,median_abs_error_c,1444,1444,0,NO_VALID_PAIR,VERIFIED
regime_date_depth_population.csv,min_error_c,1444,1444,0,NO_VALID_PAIR,VERIFIED
regime_date_depth_population.csv,p90_abs_error_c,1444,1444,0,NO_VALID_PAIR,VERIFIED
regime_date_depth_population.csv,p95_abs_error_c,1444,1444,0,NO_VALID_PAIR,VERIFIED
regime_date_depth_population.csv,pearson_r,1444,1444,0,NO_VALID_PAIR,VERIFIED
regime_date_depth_population.csv,rmse_c,1444,1444,0,NO_VALID_PAIR,VERIFIED
regime_date_depth_population.csv,std_error_c,1444,1444,0,NO_VALID_PAIR,VERIFIED
regime_depth_summary.csv,bias_c,16,16,0,NO_VALID_PAIR,VERIFIED
regime_depth_summary.csv,correlation,16,16,0,NO_VALID_PAIR,VERIFIED
regime_depth_summary.csv,mae_c,16,16,0,NO_VALID_PAIR,VERIFIED
regime_depth_summary.csv,median_abs_error_c,16,16,0,NO_VALID_PAIR,VERIFIED
regime_depth_summary.csv,p95_abs_error_c,16,16,0,NO_VALID_PAIR,VERIFIED
regime_depth_summary.csv,rmse_c,16,16,0,NO_VALID_PAIR,VERIFIED
regime_latitude_metrics.csv,bias_c,128,128,0,NO_VALID_PAIR,VERIFIED
regime_latitude_metrics.csv,correlation,128,128,0,NO_VALID_PAIR,VERIFIED
regime_latitude_metrics.csv,mae_c,128,128,0,NO_VALID_PAIR,VERIFIED
regime_latitude_metrics.csv,rmse_c,128,128,0,NO_VALID_PAIR,VERIFIED
regime_longitude_metrics.csv,bias_c,147,147,0,NO_VALID_PAIR,VERIFIED
regime_longitude_metrics.csv,correlation,147,147,0,NO_VALID_PAIR,VERIFIED
regime_longitude_metrics.csv,mae_c,147,147,0,NO_VALID_PAIR,VERIFIED
regime_longitude_metrics.csv,rmse_c,147,147,0,NO_VALID_PAIR,VERIFIED
regime_metrics.csv,bias_c,17,17,0,NO_VALID_PAIR,VERIFIED
regime_metrics.csv,mae_c,17,17,0,NO_VALID_PAIR,VERIFIED
regime_metrics.csv,max_error_c,17,17,0,NO_VALID_PAIR,VERIFIED
regime_metrics.csv,median_abs_error_c,17,17,0,NO_VALID_PAIR,VERIFIED
regime_metrics.csv,min_error_c,17,17,0,NO_VALID_PAIR,VERIFIED
regime_metrics.csv,p90_abs_error_c,17,17,0,NO_VALID_PAIR,VERIFIED
regime_metrics.csv,p95_abs_error_c,17,17,0,NO_VALID_PAIR,VERIFIED
regime_metrics.csv,pearson_r,17,17,0,NO_VALID_PAIR,VERIFIED
regime_metrics.csv,rmse_c,17,17,0,NO_VALID_PAIR,VERIFIED
regime_metrics.csv,std_error_c,17,17,0,NO_VALID_PAIR,VERIFIED
regime_metrics_daily.csv,bias_c,96,96,0,NO_VALID_PAIR,VERIFIED
regime_metrics_daily.csv,correlation,96,96,0,NO_VALID_PAIR,VERIFIED
regime_metrics_daily.csv,mae_c,96,96,0,NO_VALID_PAIR,VERIFIED
regime_metrics_daily.csv,median_abs_error_c,96,96,0,NO_VALID_PAIR,VERIFIED
regime_metrics_daily.csv,p95_abs_error_c,96,96,0,NO_VALID_PAIR,VERIFIED
regime_metrics_daily.csv,rmse_c,96,96,0,NO_VALID_PAIR,VERIFIED
regime_metrics_daily_depth.csv,bias_c,1444,1444,0,NO_VALID_PAIR,VERIFIED
regime_metrics_daily_depth.csv,correlation,1444,1444,0,NO_VALID_PAIR,VERIFIED
regime_metrics_daily_depth.csv,mae_c,1444,1444,0,NO_VALID_PAIR,VERIFIED
regime_metrics_daily_depth.csv,rmse_c,1444,1444,0,NO_VALID_PAIR,VERIFIED
regime_spatial_breakdown.csv,bias_c,54,54,0,NO_VALID_PAIR,VERIFIED
regime_spatial_breakdown.csv,correlation,54,54,0,NO_VALID_PAIR,VERIFIED
regime_spatial_breakdown.csv,mae_c,54,54,0,NO_VALID_PAIR,VERIFIED
regime_spatial_breakdown.csv,median_abs_error_c,54,54,0,NO_VALID_PAIR,VERIFIED
regime_spatial_breakdown.csv,p95_abs_error_c,54,54,0,NO_VALID_PAIR,VERIFIED
regime_spatial_breakdown.csv,rmse_c,54,54,0,NO_VALID_PAIR,VERIFIED
regime_summary.csv,bias_c,1,1,0,NO_VALID_PAIR,VERIFIED
regime_summary.csv,correlation,1,1,0,NO_VALID_PAIR,VERIFIED
regime_summary.csv,mae_c,1,1,0,NO_VALID_PAIR,VERIFIED
regime_summary.csv,median_abs_error_c,1,1,0,NO_VALID_PAIR,VERIFIED
regime_summary.csv,p95_abs_error_c,1,1,0,NO_VALID_PAIR,VERIFIED
regime_summary.csv,rmse_c,1,1,0,NO_VALID_PAIR,VERIFIED
