artifact,row_count,column_count,total_cells,total_null_cells,scientific_null_cells,coordinate_id_null_cells,status
inversion_candidates.csv,19233,21,403893,57330,57330,0,PASS
inversion_case_studies.csv,360,15,5400,432,432,0,PASS
inversion_case_summary.csv,24,17,408,24,24,0,PASS
inversion_depth_metrics.csv,5,7,35,0,0,0,PASS
inversion_magnitude_metrics.csv,6,12,72,0,0,0,PASS
inversion_metrics.csv,3,15,45,0,0,0,PASS
inversion_metrics_daily.csv,150,10,1500,184,184,0,PASS
inversion_profiles.csv,16918,15,253770,16805,16805,0,PASS
missingness_report.csv,120,8,960,0,0,0,PASS
reconstruction_completeness.csv,50,8,400,0,0,0,PASS
reconstruction_provenance.csv,10,6,60,0,0,0,PASS
reconstructions.csv,1116650,10,11166500,0,0,0,PASS
regime_date_depth_population.csv,3000,20,60000,14440,14440,0,PASS
regime_depth_summary.csv,60,12,720,96,96,0,PASS
regime_latitude_metrics.csv,300,10,3000,512,512,0,PASS
regime_longitude_metrics.csv,360,10,3600,588,588,0,PASS
regime_metrics.csv,64,16,1024,170,170,0,PASS
regime_metrics_daily.csv,200,12,2400,576,576,0,PASS
regime_metrics_daily_depth.csv,3000,11,33000,5776,5776,0,PASS
regime_profile_level.csv,1116650,13,14516450,0,0,0,PASS
regime_spatial_breakdown.csv,118,12,1416,324,324,0,PASS
regime_summary.csv,4,13,52,6,6,0,PASS
source_completeness.csv,120,11,1320,0,0,0,PASS
