date,total_grid_cells,ocean_cells,finite_model_profiles,finite_temperature_profiles,finite_uncertainty_profiles,missing_temperature_profiles,missing_reason
2023-05-11,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-12,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-13,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-14,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-15,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-16,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-17,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-18,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-19,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-20,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-21,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-22,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-23,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-24,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-25,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-26,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-27,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-28,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-29,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-30,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-05-31,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-01,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-02,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-03,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-04,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-05,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-06,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-07,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-08,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-09,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-10,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-11,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-12,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-13,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-14,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-15,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-16,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-17,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-18,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-19,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-20,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-21,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-22,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-23,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-24,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-25,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-26,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-27,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-28,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
2023-06-29,24000,22333,22333,22333,22333,0,none_all_ocean_cells_covered
