regime,depth_m,validation_target,n_obs,coverage_fraction,rmse_c,mae_c,bias_c,correlation,median_abs_error_c,p95_abs_error_c,metric_status
arabian_sea,0,glorys,556650,1.0,2.0796,1.4915,1.4375,0.5612,1.0036,4.3861,computed
arabian_sea,0,independent_argo,0,0.0,,,,,,,no_finite_observations
arabian_sea,5,glorys,556650,1.0,1.832,1.2709,1.2004,0.7526,0.774,3.9589,computed
arabian_sea,5,independent_argo,3404,0.006115,1.869,1.7009,1.7009,-0.7235,1.7437,3.0251,computed
arabian_sea,10,glorys,556650,1.0,1.7644,1.224,1.1629,0.8066,0.7383,3.799,computed
arabian_sea,10,independent_argo,3404,0.006115,1.9502,1.7783,1.7783,-0.6115,1.8664,3.0692,computed
arabian_sea,20,glorys,547450,0.983473,1.7057,1.1618,1.0658,0.7894,0.6558,3.7801,computed
arabian_sea,20,independent_argo,3212,0.00577,1.8955,1.6786,1.6657,-0.6222,1.728,3.1796,computed
arabian_sea,30,glorys,534650,0.960478,2.0379,1.3812,1.1901,0.4983,0.7792,4.44,computed
arabian_sea,30,independent_argo,2660,0.004779,2.1363,1.9514,1.9468,-0.6209,1.9849,3.6043,computed
arabian_sea,50,glorys,529450,0.951136,1.9057,1.3647,0.4057,0.61,1.0589,4.3416,computed
arabian_sea,50,independent_argo,2316,0.004161,1.7804,1.5614,1.5473,-0.6352,1.5298,3.1334,computed
arabian_sea,75,glorys,520250,0.934609,2.0594,1.3794,0.5102,0.7277,0.8308,5.1607,computed
arabian_sea,75,independent_argo,2004,0.0036,1.3362,1.1868,0.9593,-0.5244,1.1922,2.1764,computed
arabian_sea,100,glorys,519050,0.932453,2.275,1.5653,1.0963,0.7142,0.9112,5.4999,computed
arabian_sea,100,independent_argo,1668,0.002996,3.2662,3.1659,3.1659,0.0707,3.3335,4.1294,computed
arabian_sea,125,glorys,513850,0.923111,1.918,1.5467,1.4167,0.795,1.2931,3.5989,computed
