regime,validation_target,depth_m,n_obs,coverage_fraction,rmse_c,mae_c,bias_c,median_abs_error_c,std_error_c,p90_abs_error_c,p95_abs_error_c,min_error_c,max_error_c,pearson_r,metric_status
arabian_sea,glorys,0,556650,1.0,2.0796,1.4915,1.4375,1.0036,1.5028,3.6439,4.3861,-0.7218,9.0563,0.5612,computed
arabian_sea,glorys,5,556650,1.0,1.832,1.2709,1.2004,0.774,1.3839,3.2139,3.9589,-0.6986,9.1084,0.7526,computed
arabian_sea,glorys,10,556650,1.0,1.7644,1.224,1.1629,0.7383,1.327,3.0881,3.799,-0.7191,9.1764,0.8066,computed
arabian_sea,glorys,20,547450,0.983473,1.7057,1.1618,1.0658,0.6558,1.3317,3.0432,3.7801,-0.895,9.0263,0.7894,computed
arabian_sea,glorys,30,534650,0.960478,2.0379,1.3812,1.1901,0.7792,1.6542,3.5571,4.44,-1.5334,9.2626,0.4983,computed
arabian_sea,glorys,50,529450,0.951136,1.9057,1.3647,0.4057,1.0589,1.862,2.9518,4.3416,-2.6757,9.0666,0.61,computed
arabian_sea,glorys,75,520250,0.934609,2.0594,1.3794,0.5102,0.8308,1.9952,3.5004,5.1607,-3.771,8.2931,0.7277,computed
arabian_sea,glorys,100,519050,0.932453,2.275,1.5653,1.0963,0.9112,1.9935,4.309,5.4999,-3.1396,7.9194,0.7142,computed
arabian_sea,glorys,125,513850,0.923111,1.918,1.5467,1.4167,1.2931,1.2929,3.2624,3.5989,-2.8241,4.8002,0.795,computed
arabian_sea,glorys,150,509600,0.915477,1.5538,1.3247,1.2744,1.239,0.8889,2.4553,2.816,-1.8332,3.9148,0.7513,computed
arabian_sea,glorys,200,502400,0.902542,1.1517,0.9651,0.9091,0.9296,0.707,1.8112,1.9901,-1.3637,3.0424,0.5386,computed
arabian_sea,glorys,300,484400,0.870206,1.0921,0.9817,0.9761,1.009,0.4897,1.5891,1.6818,-0.9716,2.3185,-0.4341,computed
arabian_sea,glorys,500,460800,0.827809,0.3606,0.2934,0.0685,0.2564,0.354,0.5846,0.6594,-1.5985,0.9566,-0.2195,computed
arabian_sea,glorys,700,445200,0.799784,0.562,0.4731,-0.4684,0.4383,0.3105,0.9042,1.0236,-1.6725,0.3667,0.3604,computed
arabian_sea,glorys,1000,427600,0.768167,0.5806,0.4832,0.2913,0.4281,0.5022,0.9601,1.0683,-1.1806,1.5865,0.0602,computed
arabian_sea,glorys,ALL,7664650,0.91795,1.6688,1.1519,0.8662,0.7574,1.4264,2.7426,3.6767,-3.771,9.2626,0.9828,computed
arabian_sea,independent_argo,0,0,0.0,,,,,,,,,,,no_finite_observations
arabian_sea,independent_argo,5,3404,0.006115,1.869,1.7009,1.7009,1.7437,0.7749,2.9173,3.0251,0.1376,3.5507,-0.7235,computed
arabian_sea,independent_argo,10,3404,0.006115,1.9502,1.7783,1.7783,1.8664,0.8004,2.8969,3.0692,0.1191,3.4321,-0.6115,computed
arabian_sea,independent_argo,20,3212,0.00577,1.8955,1.6786,1.6657,1.728,0.9045,2.9176,3.1796,-0.5927,3.6983,-0.6222,computed
arabian_sea,independent_argo,30,2660,0.004779,2.1363,1.9514,1.9468,1.9849,0.8795,2.8309,3.6043,-0.3466,4.1238,-0.6209,computed
arabian_sea,independent_argo,50,2316,0.004161,1.7804,1.5614,1.5473,1.5298,0.8807,2.5162,3.1334,-0.7318,3.84,-0.6352,computed
arabian_sea,independent_argo,75,2004,0.0036,1.3362,1.1868,0.9593,1.1922,0.93,2.0402,2.1764,-2.4728,2.4854,-0.5244,computed
