region,date_range,date_span,depth_m,total_ocean_points,model_finite,glorys_finite,argo_finite,model_glorys_pairs,model_argo_pairs,all_three_finite
arabian_sea,Early_Holdout,2023-05-11 to 2023-05-25,0,166995,166995,166995,0,166995,0,0
arabian_sea,Early_Holdout,2023-05-11 to 2023-05-25,5,166995,166995,166995,851,166995,851,851
arabian_sea,Early_Holdout,2023-05-11 to 2023-05-25,10,166995,166995,166995,851,166995,851,851
arabian_sea,Early_Holdout,2023-05-11 to 2023-05-25,20,166995,164235,164235,811,164235,803,803
arabian_sea,Early_Holdout,2023-05-11 to 2023-05-25,30,166995,160395,160395,731,160395,665,665
arabian_sea,Early_Holdout,2023-05-11 to 2023-05-25,50,166995,158835,158835,675,158835,579,579
arabian_sea,Early_Holdout,2023-05-11 to 2023-05-25,75,166995,156075,156075,637,156075,501,501
arabian_sea,Early_Holdout,2023-05-11 to 2023-05-25,100,166995,155715,155715,577,155715,417,417
arabian_sea,Early_Holdout,2023-05-11 to 2023-05-25,125,166995,154155,154155,561,154155,385,385
arabian_sea,Early_Holdout,2023-05-11 to 2023-05-25,150,166995,152880,152880,537,152880,340,340
arabian_sea,Early_Holdout,2023-05-11 to 2023-05-25,200,166995,150720,150720,521,150720,308,308
arabian_sea,Early_Holdout,2023-05-11 to 2023-05-25,300,166995,145320,145320,505,145320,244,244
arabian_sea,Early_Holdout,2023-05-11 to 2023-05-25,500,166995,138240,138240,463,138240,192,192
arabian_sea,Early_Holdout,2023-05-11 to 2023-05-25,700,166995,133560,133560,447,133560,174,174
arabian_sea,Early_Holdout,2023-05-11 to 2023-05-25,1000,166995,128280,128280,439,128280,166,166
arabian_sea,Mid_Holdout,2023-05-26 to 2023-06-10,0,178128,178128,178128,0,178128,0,0
arabian_sea,Mid_Holdout,2023-05-26 to 2023-06-10,5,178128,178128,178128,1702,178128,1702,1702
arabian_sea,Mid_Holdout,2023-05-26 to 2023-06-10,10,178128,178128,178128,1702,178128,1702,1702
arabian_sea,Mid_Holdout,2023-05-26 to 2023-06-10,20,178128,175184,175184,1622,175184,1606,1606
arabian_sea,Mid_Holdout,2023-05-26 to 2023-06-10,30,178128,171088,171088,1462,171088,1330,1330
arabian_sea,Mid_Holdout,2023-05-26 to 2023-06-10,50,178128,169424,169424,1350,169424,1158,1158
arabian_sea,Mid_Holdout,2023-05-26 to 2023-06-10,75,178128,166480,166480,1274,166480,1002,1002
arabian_sea,Mid_Holdout,2023-05-26 to 2023-06-10,100,178128,166096,166096,1154,166096,834,834
arabian_sea,Mid_Holdout,2023-05-26 to 2023-06-10,125,178128,164432,164432,1122,164432,770,770
arabian_sea,Mid_Holdout,2023-05-26 to 2023-06-10,150,178128,163072,163072,1074,163072,680,680
arabian_sea,Mid_Holdout,2023-05-26 to 2023-06-10,200,178128,160768,160768,1042,160768,616,616
arabian_sea,Mid_Holdout,2023-05-26 to 2023-06-10,300,178128,155008,155008,1010,155008,488,488
arabian_sea,Mid_Holdout,2023-05-26 to 2023-06-10,500,178128,147456,147456,926,147456,384,384
arabian_sea,Mid_Holdout,2023-05-26 to 2023-06-10,700,178128,142464,142464,894,142464,348,348
arabian_sea,Mid_Holdout,2023-05-26 to 2023-06-10,1000,178128,136832,136832,878,136832,332,332
arabian_sea,Late_Holdout,2023-06-11 to 2023-06-29,0,211527,211527,211527,0,211527,0,0
arabian_sea,Late_Holdout,2023-06-11 to 2023-06-29,5,211527,211527,211527,851,211527,851,851
arabian_sea,Late_Holdout,2023-06-11 to 2023-06-29,10,211527,211527,211527,851,211527,851,851
arabian_sea,Late_Holdout,2023-06-11 to 2023-06-29,20,211527,208031,208031,811,208031,803,803
arabian_sea,Late_Holdout,2023-06-11 to 2023-06-29,30,211527,203167,203167,731,203167,665,665
arabian_sea,Late_Holdout,2023-06-11 to 2023-06-29,50,211527,201191,201191,675,201191,579,579
arabian_sea,Late_Holdout,2023-06-11 to 2023-06-29,75,211527,197695,197695,637,197695,501,501
arabian_sea,Late_Holdout,2023-06-11 to 2023-06-29,100,211527,197239,197239,577,197239,417,417
arabian_sea,Late_Holdout,2023-06-11 to 2023-06-29,125,211527,195263,195263,561,195263,385,385
arabian_sea,Late_Holdout,2023-06-11 to 2023-06-29,150,211527,193648,193648,537,193648,340,340
arabian_sea,Late_Holdout,2023-06-11 to 2023-06-29,200,211527,190912,190912,521,190912,308,308
arabian_sea,Late_Holdout,2023-06-11 to 2023-06-29,300,211527,184072,184072,505,184072,244,244
arabian_sea,Late_Holdout,2023-06-11 to 2023-06-29,500,211527,175104,175104,463,175104,192,192
arabian_sea,Late_Holdout,2023-06-11 to 2023-06-29,700,211527,169176,169176,447,169176,174,174
arabian_sea,Late_Holdout,2023-06-11 to 2023-06-29,1000,211527,162488,162488,439,162488,166,166
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,0,556650,556650,556650,0,556650,0,0
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,5,556650,556650,556650,3404,556650,3404,3404
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,10,556650,556650,556650,3404,556650,3404,3404
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,20,556650,547450,547450,3244,547450,3212,3212
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,30,556650,534650,534650,2924,534650,2660,2660
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,50,556650,529450,529450,2700,529450,2316,2316
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,75,556650,520250,520250,2548,520250,2004,2004
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,100,556650,519050,519050,2308,519050,1668,1668
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,125,556650,513850,513850,2244,513850,1540,1540
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,150,556650,509600,509600,2148,509600,1360,1360
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,200,556650,502400,502400,2084,502400,1232,1232
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,300,556650,484400,484400,2020,484400,976,976
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,500,556650,460800,460800,1852,460800,768,768
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,700,556650,445200,445200,1788,445200,696,696
arabian_sea,Full_Holdout,2023-05-11 to 2023-06-29,1000,556650,427600,427600,1756,427600,664,664
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,0,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,5,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,10,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,20,168000,168000,168000,0,168000,0,0
bay_of_bengal,Early_Holdout,2023-05-11 to 2023-05-25,30,168000,168000,168000,0,168000,0,0
